  33	1.98320478	1.92353852	43.00577794	0.68674344	0.07086216
  34	1.98320478	1.92353852	42.40905864	0.60768842	0.07030444
  35	1.98320478	1.92353852	41.14593272	0.71413133	0.06977123
  36	1.96152047	1.92232186	40.08269434	0.52637718	0.06926073
  37	1.94688054	1.93206851	40.10390315	0.67807305	0.06877133
  38	1.94688054	1.93206851	42.15138134	0.65051432	0.06830159
  39	1.94688054	1.93206851	42.06894676	0.71975710	0.06785017
  40	1.94688054	1.93206851	41.40831402	0.62084037	0.06741589
  41	1.94688054	1.93206851	41.64101846	0.68524360	0.06699766
  42	1.94688054	1.93206851	40.88961815	0.67342872	0.06659447
  43	1.94688054	1.93206851	41.18024678	0.62930047	0.06620543
  44	1.94133270	1.92723081	39.71401429	0.62313659	0.06582970
  45	1.93805985	1.92073789	39.53932706	0.56509520	0.06546652
  46	1.94237093	1.89961178	38.93541440	0.63968686	0.06511517
  47	1.94237093	1.89961178	40.48094669	0.64971009	0.06477501
  48	1.92085226	1.90978839	37.72255492	0.63643687	0.06444543
  49	1.89769986	1.91838531	36.89828658	0.59127947	0.06412589
  50	1.88795868	1.91301013	35.94454939	0.56718123	0.06381586
  51	1.88795868	1.91301013	37.86375160	0.68346905	0.06351486
  52	1.88795868	1.91301013	38.73754006	0.62540928	0.06322246
  53	1.88795868	1.91301013	38.04646902	0.65786400	0.06293823
  54	1.86525643	1.90209920	34.92797696	0.64822730	0.06266178
  55	1.84392208	1.90069721	33.05293463	0.44258182	0.06239276
  56	1.83025073	1.88966308	32.64082866	0.57886063	0.06213083
  57	1.83025073	1.88966308	34.87120654	0.65275965	0.06187567
  58	1.83025073	1.88966308	32.78241094	0.59392530	0.06162697
  59	1.80891137	1.91142065	31.89712996	0.54088792	0.06138447
  60	1.80891137	1.91142065	33.34110904	0.55788335	0.06114790
  61	1.80891137	1.91142065	32.69617989	0.53976799	0.06091701
  62	1.80891137	1.91142065	32.85218499	0.55778917	0.06069157
  63	1.80891137	1.91142065	32.60727858	0.49912225	0.06047136
  64	1.80891137	1.91142065	34.43005153	0.61381733	0.06025617
  65	1.80891137	1.91142065	33.58083516	0.48359149	0.06004581
  66	1.80891137	1.91142065	32.30355151	0.53173794	0.05984009
  67	1.80246742	1.89577838	31.66374865	0.56651603	0.05963884
  68	1.79252020	1.87212586	30.47116781	0.47396821	0.05944189
  69	1.79252020	1.87212586	32.05682342	0.49648951	0.05924908
  70	1.78668539	1.85974715	30.29405801	0.50346669	0.05906027
  71	1.77450420	1.88127912	30.05703487	0.47814402	0.05887531
  72	1.76007317	1.86677662	29.42337380	0.56484269	0.05869406
  73	1.77375937	1.85500110	29.05999435	0.44707841	0.05851641
  74	1.77375937	1.85500110	29.69033770	0.51071818	0.05834223
  75	1.76218292	1.85836719	28.14760584	0.43387980	0.05817139
  76	1.76218292	1.85836719	29.18554999	0.45286216	0.05800380
  77	1.76218292	1.85836719	29.20516900	0.40399026	0.05783934
  78	1.76218292	1.85836719	29.18411029	0.51346254	0.05767792
  79	1.76218292	1.85836719	28.81457776	0.44866699	0.05751943
  80	1.76218292	1.85836719	28.31702177	0.51233569	0.05736379
  81	1.76218292	1.85836719	29.94644161	0.49734638	0.05721091
  82	1.76218292	1.85836719	29.01317497	0.46859476	0.05706070
  83	1.76218292	1.85836719	31.11943103	0.55170806	0.05691308
  84	1.76218292	1.85836719	28.50872058	0.50494092	0.05676798
  85	1.76218292	1.85836719	30.19538627	0.52515592	0.05662533
  86	1.76218292	1.85836719	29.43038861	0.52296884	0.05648504
  87	1.76218292	1.85836719	29.18415386	0.43263111	0.05634706
  88	1.76218292	1.85836719	29.54060228	0.46884082	0.05621131
  89	1.76218292	1.85836719	29.33111476	0.53388700	0.05607774
  90	1.76218292	1.85836719	29.24734376	0.49114234	0.05594629
  91	1.76218292	1.85836719	28.33765220	0.46597151	0.05581689
  92	1.74940758	1.84710742	27.29998537	0.44651244	0.05568950
  93	1.74940758	1.84710742	28.34743171	0.46417681	0.05556405
  94	1.74940758	1.84710742	28.76903792	0.49978432	0.05544050
  95	1.74940758	1.84710742	27.53968405	0.41748329	0.05531880
  96	1.74940758	1.84710742	28.84898592	0.51975564	0.05519889
